Customer_Age,Dependent_count,Education_Level,Income_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Gender_F,Gender_M,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Card_Category_Blue,Card_Category_Gold,Card_Category_Platinum,Card_Category_Silver,Attrition_Flag
55,2,2,0,50,3,2,0,10916.0,1536,9380.0,1.317,1592,34,1.0,0.141,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
47,4,2,4,36,4,1,3,5349.0,1228,4121.0,0.728,1343,30,1.308,0.23,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
41,2,3,3,24,4,1,3,9366.0,1104,8262.0,0.572,1303,39,0.625,0.118,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
40,3,3,3,28,5,1,0,21617.0,0,21617.0,1.047,1351,22,0.467,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
68,1,2,4,56,5,2,3,13860.0,1652,12208.0,1.255,1910,32,1.909,0.119,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
50,1,2,1,31,2,2,3,18386.0,0,18386.0,0.868,1298,22,0.571,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1
47,4,5,2,41,6,2,2,2405.0,1540,865.0,0.469,1087,29,1.231,0.64,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
53,1,0,4,47,4,2,3,2154.0,930,1224.0,2.121,1439,26,1.364,0.432,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
42,5,2,1,36,3,3,3,2038.0,0,2038.0,0.786,1238,28,0.75,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
48,4,3,1,38,6,1,3,8135.0,0,8135.0,1.373,1716,29,0.812,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
49,1,1,0,38,6,1,3,9364.0,618,8746.0,0.554,1099,27,0.8,0.066,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
44,2,5,4,35,4,3,2,32643.0,0,32643.0,1.3,1058,24,2.429,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
43,4,2,4,34,2,3,1,3195.0,1954,1241.0,0.971,1285,29,0.706,0.612,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
56,0,3,3,43,5,2,1,2852.0,1024,1828.0,1.009,1651,28,1.0,0.359,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
